,SMALL LoINV,ME1 INV2,ME1 INV3,ME1 INV4,SMALL HiINV,ME2 INV1,ME2 INV2,ME2 INV3,ME2 INV4,ME2 INV5,ME3 INV1,ME3 INV2,ME3 INV3,ME3 INV4,ME3 INV5,ME4 INV1,ME4 INV2,ME4 INV3,ME4 INV4,ME4 INV5,BIG LoINV,ME5 INV2,ME5 INV3,ME5 INV4,BIG HiINV
196307,0.2217,-1.9977,-0.0859,0.0898,0.4733,-1.5411,-1.2325,0.0698,0.2808,0.2589,-2.1703,-1.9536,-1.9277,-0.7056,-1.9627,-0.3658,-1.1053,-1.2538,-1.6293,-1.5107,-1.18,-0.0311,0.9348,0.3086,1.3879
196308,4.5367,1.9844,2.3096,2.2577,2.9372,5.8203,5.0458,3.3426,5.2819,5.6641,6.3678,3.9633,3.2738,4.0061,8.1484,5.8252,5.8894,3.977,5.8853,7.0433,6.3558,5.2045,5.383,4.5708,6.753
196309,-0.8673,-0.4042,-1.7032,0.4938,-1.7319,0.0875,-2.6598,-4.1569,-2.408,-2.7418,-3.748,-1.0705,1.5179,-2.1528,-2.6395,-3.6256,-0.8141,-2.2232,-3.4064,-1.8811,-0.7594,-0.9661,-2.9453,0.0842,-0.6868
196310,0.9509,-0.8369,0.2493,2.3211,-1.6295,4.2486,4.7004,1.0751,3.3033,1.6222,2.1777,1.7974,1.4811,1.8282,2.4103,5.4764,0.1643,1.3309,1.1382,1.0184,2.1563,0.9488,0.4053,4.2569,10.563
196311,-2.8286,2.1427,-3.6465,-2.8587,-2.9757,0.0434,-2.0686,0.4388,-0.7462,-2.5657,-0.1605,-2.568,-0.467,-2.4891,-2.8741,-0.9074,-0.7053,-0.9785,0.9647,0.3783,0.9004,-1.1543,-1.0493,0.9907,-4.9794
196312,-1.654,0.6106,0.04,-1.3729,-2.019,-0.8289,0.0148,0.1288,-0.0189,0.6409,2.1747,-0.8824,1.9816,2.5914,1.1003,1.4751,1.9213,0.9367,2.2191,-1.3501,2.3812,3.894,2.621,2.2698,1.7137
196401,5.7406,4.665,4.7215,3.6879,2.4093,2.9656,1.2813,2.7076,2.3327,0.7505,4.0173,1.5502,3.2004,2.4872,-0.0824,5.3414,2.8192,-0.8131,1.0577,-0.0208,3.2398,1.1874,2.4749,4.5734,0.1012
196402,2.3884,-0.2582,2.5124,2.1342,2.0406,0.7873,2.5912,4.1428,3.5666,3.0192,3.4347,3.6032,2.1944,1.9683,0.14,3.7165,2.3831,2.6595,3.3857,2.1839,2.4198,1.8329,1.802,1.0645,1.8647
196403,4.7,3.6761,2.248,2.1573,1.2052,6.736,4.5723,3.0429,3.5815,2.9429,8.0559,1.9265,4.8265,2.2914,2.4584,6.6405,2.8115,3.6937,3.7919,1.4369,3.1465,3.4693,0.9192,0.7286,0.71
196404,0.0475,-2.4933,0.912,2.1512,-1.7796,0.3059,-1.544,-0.8874,-0.3675,-0.4881,-1.9137,1.6362,-1.6815,-0.7621,-2.372,-4.2077,-0.7255,3.8208,-0.4351,-0.9328,-2.2023,0.7487,0.8598,0.2612,4.7408
196405,1.9053,1.217,-1.1511,-0.4916,-0.4804,4.097,1.4449,2.6698,0.043,1.6054,2.6466,1.6783,-0.8209,-0.9501,-0.3978,2.6057,1.8047,1.6499,2.5799,0.9781,1.0107,1.1363,1.145,1.3141,3.7897
196406,1.6057,0.9888,2.4781,1.9696,0.681,1.6221,2.1521,1.7986,0.6298,1.9543,2.1158,3.2959,1.5196,0.6347,2.6716,0.0253,0.6318,2.327,2.9602,0.5673,-0.1175,2.1833,1.401,2.3712,1.0209
