date,age,aliq_at,aliq_mat,ami_126d,at_be,at_gr1,at_me,at_turnover,be_gr1a,be_me,beta_60m,beta_dimson_21d,betabab_1260d,betadown_252d,bev_mev,bidaskhl_21d,capex_abn,capx_gr1,capx_gr2,capx_gr3,cash_at,chcsho_12m,coa_gr1a,col_gr1a,cop_at,cop_atl1,corr_1260d,coskew_21d,cowc_gr1a,dbnetis_at,debt_gr3,debt_me,dgp_dsale,div12m_me,dolvol_126d,dolvol_var_126d,dsale_dinv,dsale_drec,dsale_dsga,earnings_variability,ebit_bev,ebit_sale,ebitda_mev,emp_gr1,eq_dur,eqnetis_at,eqnpo_12m,eqnpo_me,eqpo_me,f_score,fcf_me,fnl_gr1a,gp_at,gp_atl1,inv_gr1,inv_gr1a,iskew_capm_21d,iskew_ff3_21d,iskew_hxz4_21d,ival_me,ivol_capm_21d,ivol_capm_252d,ivol_ff3_21d,ivol_hxz4_21d,kz_index,lnoa_gr1a,lti_gr1a,market_equity,mispricing_mgmt,mispricing_perf,ncoa_gr1a,ncol_gr1a,netdebt_me,netis_at,nfna_gr1a,ni_ar1,ni_be,ni_inc8q,ni_ivol,ni_me,niq_at,niq_at_chg1,niq_be,niq_be_chg1,niq_su,nncoa_gr1a,noa_at,noa_gr1a,o_score,oaccruals_at,oaccruals_ni,ocf_at,ocf_at_chg1,ocf_me,ocfq_saleq_std,op_at,op_atl1,ope_be,ope_bel1,opex_at,pi_nix,ppeinv_gr1a,prc,prc_highprc_252d,qmj,qmj_growth,qmj_prof,qmj_safety,rd5_at,rd_me,rd_sale,resff3_12_1,resff3_6_1,ret_12_1,ret_12_7,ret_1_0,ret_3_1,ret_60_12,ret_6_1,ret_9_1,rmax1_21d,rmax5_21d,rmax5_rvol_21d,rskew_21d,rvol_21d,sale_bev,sale_emp_gr1,sale_gr1,sale_gr3,sale_me,saleq_gr1,saleq_su,seas_11_15an,seas_11_15na,seas_16_20an,seas_16_20na,seas_1_1an,seas_1_1na,seas_2_5an,seas_2_5na,seas_6_10an,seas_6_10na,sti_gr1a,taccruals_at,taccruals_ni,tangibility,tax_gr1a,turnover_126d,turnover_var_126d,z_score,zero_trades_126d,zero_trades_21d,zero_trades_252d
31-1-1926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027024721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010739997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-2-1926,,,,,,,,,,,,0.019161179,,,,-0.030570309,,,,,,,,,,,,-0.002112269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011600765,,,,0.039237961,,,,,,,-0.029598942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.019042778,,,,,,,,,,,,,-0.020314958,,,,,0.035456312,0.039653265,,0.009980971,0.042753381,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024047894,
31-3-1926,-0.086737579,,,,,,,,,,,0.058228056,,,,-0.063849048,,,,,,,,,,,,0.002630054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.017340651,,,,0.055047866,,,,,,,-0.051052077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.048628421,,,,,,,,,,,,,-0.045750952,,,,,0.03726031,0.042021414,,-0.025835903,0.059908245,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023760714,
30-4-1926,-0.000572392,,,-0.001412872,,,,,,,,-0.006661465,,,,-0.00984658,,,,,,,,,,,,0.008737022,,,,,,,-0.007820825,0.006217405,,,,,,,,,,,,,,,,,,,,,0.002325411,,,,-0.000787413,,,,,,,0.005404839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001447763,,,,,,,,,,,,,-0.00098859,-0.009325044,,,,-0.010335726,-0.005114198,,0.003617254,-0.003496294,,,,,,,,,,,,,,,,,,,,,,,-0.002749139,0.005893762,,-0.00306659,-0.003162197,
31-5-1926,-0.00633153,,,-0.003117845,,,,,,,,0.007574999,,,,-0.01400923,,,,,,,,,,,,-0.001831868,,,,,,,-0.000804166,0.001095609,,,,,,,,,,,,,,,,,,,,,-0.005099526,,,,-0.000136077,,,,,,,-0.005611249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008217467,,,,,,,,,,,,,-0.018437311,0.018411217,,,,0.001146842,0.003133837,,-0.004036301,0.006096101,,,,,,,,,,,,,,,,,,,,,,,0.003273384,-0.002528682,,0.001154954,-0.001832577,
30-6-1926,-0.003011908,,,-0.02593023,,,,,,,,-0.023964645,,,,0.001895487,,,,,,,,,,,,-0.009910463,,,,,,,-0.017782391,0.016305177,,,,,,,,,,,,,,,,,,,,,0.020962718,,,,-0.009732783,-0.023368357,,,,,,-0.004365928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000181147,-0.04439156,,,,,,,,,,,,0.032762208,-0.026459228,,,,-0.004640052,-0.007944393,0.009969549,0.018986988,-0.016492962,,,,,,,,,,,,,,,,,,,,,,,-0.031778731,0.01485667,,-0.017468358,-0.020049614,-0.024303848
31-7-1926,0.00321095,,,-0.011347804,,,,,,,,-0.015703714,,-0.01460801,,-0.001074959,,,,,,,,,,,,-0.000306404,,,,,,,-0.005746419,0.026165769,,,,,,,,,,,,,,,,,,,,,-0.000435368,,,,0.015247694,0.012220532,,,,,,-0.02129035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.010808815,-0.008496209,,,,,,,,,,,,-0.010176479,-0.023056196,,-0.006178879,,0.011499942,0.005902311,-0.010914658,0.012802139,0.009776591,,,,,,,,,,,,,,,,,,,,,,,-0.005456256,0.029598894,,-0.00929617,-0.014472331,-0.004827292
31-8-1926,-0.01637788,,,-0.000921772,,,,,,,,0.014739556,,0.027479731,,-0.024403365,,,,,,,,,,,,0.007688096,,,,,,,0.004328746,0.003631822,,,,,,,,,,,,,,,,,,,,,0.016682796,,,,0.029899463,0.024121572,,,,,,0.007838406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.018419824,0.019388217,,,,,,,,,,,,0.019184268,0.005054196,,0.030528355,,0.027472128,0.026308836,0.01147116,0.021358392,0.026636794,,,,,,,,,,,,,,,,,,,,,,,0.017259391,0.007150383,,0.003512368,0.011404069,0.003599456
30-9-1926,0.00365287,,,-0.003726045,,,,,,,,0.016479448,,0.02019821,,-0.021423861,,,,,,,,,,,,0.008399332,,,,,,,0.00513365,-0.008728014,,,,,,,,,,,,,,,,,,,,,-0.00531992,,,,0.016979032,0.018084826,,,,,,-0.00866201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.034406998,0.036948477,,,,,,,,,,,,0.001458997,0.012889257,,0.038725291,,0.017230363,0.019679836,0.005331089,-0.004946385,0.019401013,,,,,,,,,,,,,,,,,,,,,,,0.012043796,-0.012690113,,0.0167821,0.012106771,0.013552723
31-10-1926,-0.015994879,,,0.000615244,,,,,,,,0.021479879,,0.023684262,,-0.015149399,,,,,,,,,,,,0.00885888,,,,,,,0.014044982,-0.024015556,,,,,,,,,,,,,,,,,,,,,-0.010598761,,,,0.027179879,0.028883195,,,,,,-0.007229146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.011840573,0.029827168,,,,,,,,,,,,-0.018963544,0.008555948,,0.003535211,0.020237036,0.023705422,0.026788131,-0.002914701,-0.001936535,0.030387762,,,,,,,,,,,,,,,,,,,,,,,0.035090306,-0.023426069,,0.018971541,0.023219432,0.016655546
30-11-1926,-0.031501436,,,-0.00623148,,,,,,,,-0.008782475,,-0.007066538,,0.003631244,,,,,,,,,,,,0.016303635,,,,,,,-0.017277841,0.009647742,,,,,,,,,,,,,,,,,,,,,0.007655212,,,,0.018853529,0.008031244,,,,,,-0.011294872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006485716,-0.002517274,,,,,,,,,,,,0.01737867,0.016877186,,0.019064201,0.007769859,0.02037762,0.021021064,0.019215339,0.024597693,0.00806341,,,,,,,,,,,,,,,,,,,,,,,-0.019169393,0.00912007,,-0.00593442,-0.00299224,-0.003304364
31-12-1926,0.004599302,,,-0.013369008,,,,,,,,-0.011749051,,-0.018748869,,-0.00243766,,,,,,,,,,,,0.007974732,,,,,,0.006525923,-0.016698153,0.01832577,,,,,,,,,,,,,,,,,,,,,0.004060321,,,,0.011290841,-0.005316377,,,,,,-0.004872269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007559582,-0.008655451,,,,,,,,,,,,0.012011984,-0.012182979,,-0.010278113,-0.007837233,0.008099589,0.012060936,0.021250579,0.00305639,0.005643065,,,,,,,,,,,,,,,,,,,,,,,-0.013199519,0.012939838,,-0.017366026,-0.006303916,-0.012708538
